r0,entropy
0,0
0.01,0.00140242
0.02,0.00463434
0.03,0.00818121
0.04,0.0114806
0.05,0.0145376
0.06,0.0174273
0.07,0.0201697
0.08,0.0228287
0.09,0.0254735
0.1,0.0282061
0.11,0.0307998
0.12,0.0335877
0.13,0.0360941
0.14,0.0388164
0.15,0.0415578
0.16,0.0442376
0.17,0.0467909
0.18,0.0493705
0.19,0.0522032
0.2,0.0548881
0.21,0.0576644
0.22,0.0603626
0.23,0.0631461
0.24,0.0657689
0.25,0.0685073
0.26,0.0712596
0.27,0.0740392
0.28,0.0770244
0.29,0.0796166
0.3,0.0825638
0.31,0.085001
0.32,0.0879606
0.33,0.0909608
0.34,0.0937378
0.35,0.0966626
0.36,0.0994794
0.37,0.102017
0.38,0.104674
0.39,0.108106
0.4,0.110872
0.41,0.113989
0.42,0.116714
0.43,0.119659
0.44,0.122672
0.45,0.125909
0.46,0.128905
0.47,0.132017
0.48,0.13482
0.49,0.137855
0.5,0.140839
0.51,0.143988
0.52,0.147126
0.53,0.150363
0.54,0.153512
0.55,0.156764
0.56,0.159938
0.57,0.162761
0.58,0.166519
0.59,0.169742
0.6,0.173073
0.61,0.176729
0.62,0.179271
0.63,0.183037
0.64,0.186995
0.65,0.190849
0.66,0.193866
0.67,0.197634
0.68,0.201001
0.69,0.204981
0.7,0.208995
0.71,0.212702
0.72,0.216499
0.73,0.220521
0.74,0.224675
0.75,0.228325
0.76,0.232566
0.77,0.236668
0.78,0.240853
0.79,0.244595
0.8,0.249871
0.81,0.253798
0.82,0.258501
0.83,0.262722
0.84,0.266735
0.85,0.271445
0.86,0.276001
0.87,0.281459
0.88,0.285457
0.89,0.28973
0.9,0.29396
0.91,0.29841
0.92,0.304091
0.93,0.308254
0.94,0.312565
0.95,0.31765
0.96,0.322731
0.97,0.32751
0.98,0.331472
0.99,0.336201
