r0,entropy
0.001,0.00887333
0.0011,0.00725273
0.00121,0.00584808
0.001331,0.00467758
0.0014641,0.00388081
0.00161051,0.00378828
0.00177156,0.00453717
0.00194872,0.00603556
0.00214359,0.00828202
0.00235795,0.0113485
0.00259374,0.0142998
0.00285312,0.0168602
0.00313843,0.0184988
0.00345227,0.0187784
0.0037975,0.0176202
0.00417725,0.0154992
0.00459497,0.0131863
0.00505447,0.0108079
0.00555992,0.00895394
0.00611591,0.00819273
0.0067275,0.00855939
0.00740025,0.0106497
0.00814027,0.0141545
0.0089543,0.019356
0.00984973,0.0254004
0.0108347,0.0312665
0.0119182,0.0356093
0.01311,0.0373063
0.014421,0.0365992
0.0158631,0.0332594
0.0174494,0.0290883
0.0191943,0.0244947
0.0211138,0.0200101
0.0232252,0.0169794
0.0255477,0.0164715
0.0281024,0.0189806
0.0309127,0.0241337
0.0340039,0.0327216
0.0374043,0.0441022
0.0411448,0.0561325
0.0452593,0.0667459
0.0497852,0.0732562
0.0547637,0.0745612
0.0602401,0.0707915
0.0662641,0.0630412
0.0728905,0.0538335
0.0801795,0.0445424
0.0881975,0.0365234
0.0970172,0.0328319
0.106719,0.0345477
0.117391,0.0421257
0.12913,0.0551479
0.142043,0.0759208
0.156247,0.0987891
0.171872,0.122567
0.189059,0.140103
0.207965,0.148665
0.228762,0.146708
0.251638,0.134868
0.276801,0.118206
0.304482,0.0984434
0.33493,0.081318
0.368423,0.0682083
0.405265,0.0657503
0.445792,0.0752436
0.490371,0.0947758
0.539408,0.126762
0.593349,0.172451
0.652683,0.22067
0.717952,0.263343
0.789747,0.291627
0.868722,0.298261
0.955594,0.284663
