r0,entropy
0,0
0.01,0.000329737
0.02,0.00130473
0.03,0.00288695
0.04,0.00506578
0.05,0.00779582
0.06,0.011128
0.07,0.0149994
0.08,0.0192381
0.09,0.0240271
0.1,0.0292292
0.11,0.0349114
0.12,0.0409835
0.13,0.0472849
0.14,0.054128
0.15,0.061172
0.16,0.0685613
0.17,0.0763055
0.18,0.0843602
0.19,0.0925492
0.2,0.101061
0.21,0.109698
0.22,0.118296
0.23,0.127358
0.24,0.136539
0.25,0.1456
0.26,0.155225
0.27,0.164346
0.28,0.174037
0.29,0.183519
0.3,0.19307
0.31,0.202475
0.32,0.212498
0.33,0.221526
0.34,0.231413
0.35,0.240972
0.36,0.250346
0.37,0.259562
0.38,0.268824
0.39,0.278148
0.4,0.287052
0.41,0.295669
0.42,0.30432
0.43,0.312966
0.44,0.321505
0.45,0.329381
0.46,0.33673
0.47,0.344698
0.48,0.352067
0.49,0.359408
0.5,0.366589
0.51,0.373306
0.52,0.379573
0.53,0.385573
0.54,0.391551
0.55,0.396862
0.56,0.401627
0.57,0.406875
0.58,0.411199
0.59,0.415265
0.6,0.419319
0.61,0.422522
0.62,0.425884
0.63,0.428588
0.64,0.431173
0.65,0.433376
0.66,0.435133
0.67,0.436743
0.68,0.437807
0.69,0.439093
0.7,0.439338
0.71,0.439871
0.72,0.439967
0.73,0.43979
0.74,0.439255
0.75,0.438242
0.76,0.437685
0.77,0.436315
0.78,0.434875
0.79,0.433325
0.8,0.431638
0.81,0.429736
0.82,0.427307
0.83,0.425073
0.84,0.422912
0.85,0.419912
0.86,0.417039
0.87,0.414447
0.88,0.411724
0.89,0.408171
0.9,0.405188
0.91,0.402049
0.92,0.398607
0.93,0.39508
0.94,0.391623
0.95,0.387707
0.96,0.3847
0.97,0.380423
0.98,0.376963
0.99,0.37335
