r0,entropy
0,0
0.01,0.000829111
0.02,0.00325653
0.03,0.00716691
0.04,0.0124008
0.05,0.018955
0.06,0.0265681
0.07,0.0352946
0.08,0.0449232
0.09,0.0554781
0.1,0.066698
0.11,0.0785606
0.12,0.0909327
0.13,0.104046
0.14,0.117215
0.15,0.130944
0.16,0.144615
0.17,0.158632
0.18,0.172835
0.19,0.186928
0.2,0.200801
0.21,0.214987
0.22,0.228756
0.23,0.241771
0.24,0.25565
0.25,0.268546
0.26,0.280764
0.27,0.293126
0.28,0.304748
0.29,0.315916
0.3,0.326659
0.31,0.336807
0.32,0.346168
0.33,0.355342
0.34,0.363182
0.35,0.370681
0.36,0.377992
0.37,0.384752
0.38,0.390104
0.39,0.395549
0.4,0.399951
0.41,0.40362
0.42,0.407372
0.43,0.410106
0.44,0.412043
0.45,0.413453
0.46,0.414434
0.47,0.415237
0.48,0.415297
0.49,0.41471
0.5,0.413891
0.51,0.412687
0.52,0.411044
0.53,0.409009
0.54,0.406862
0.55,0.404226
0.56,0.401128
0.57,0.398197
0.58,0.394416
0.59,0.390723
0.6,0.387109
0.61,0.382808
0.62,0.378556
0.63,0.374232
0.64,0.369868
0.65,0.365486
0.66,0.360885
0.67,0.355733
0.68,0.351342
0.69,0.34636
0.7,0.341518
0.71,0.336562
0.72,0.331526
0.73,0.326417
0.74,0.321739
0.75,0.316813
0.76,0.311913
0.77,0.30673
0.78,0.302144
0.79,0.297356
0.8,0.292234
0.81,0.287212
0.82,0.283017
0.83,0.278232
0.84,0.273881
0.85,0.268687
0.86,0.26442
0.87,0.259536
0.88,0.25514
0.89,0.251114
0.9,0.246914
0.91,0.242758
0.92,0.238159
0.93,0.234572
0.94,0.230663
0.95,0.226472
0.96,0.222201
0.97,0.218811
0.98,0.215316
0.99,0.211348
