r,theta,mass
0.8,0,5.02204e-45
0.8,0.01,2.79269e-44
0.8,0.02,7.66639e-45
0.8,0.03,5.1769e-43
0.8,0.04,1.41658e-43
0.8,0.05,3.44882e-53
0.8,0.06,8.63559e-42
0.8,0.07,8.58362e-46
0.8,0.08,1.70343e-44
0.8,0.09,3.52927e-47
0.8,0.1,9.42629e-49
0.8,0.11,5.73365e-59
0.8,0.12,3.27347e-44
0.8,0.13,3.23589e-44
0.8,0.14,3.69313e-50
0.8,0.15,1.1921e-60
0.8,0.16,1.63992e-41
0.8,0.17,3.78304e-50
0.8,0.18,6.27185e-43
0.8,0.19,7.06641e-43
0.8,0.2,7.11836e-49
0.8,0.21,7.59516e-56
0.8,0.22,5.33313e-45
0.8,0.23,4.05526e-53
0.8,0.24,4.13176e-42
0.8,0.25,2.92278e-51
0.8,0.26,1.59986e-59
0.8,0.27,1.27877e-49
0.8,0.28,3.00469e-41
0.8,0.29,7.38989e-43
0.8,0.3,5.0904e-41
0.8,0.31,4.1568e-41
0.8,0.32,1.50783e-58
0.8,0.33,2.2025e-53
0.8,0.34,1.82675e-52
0.8,0.35,3.35221e-56
0.8,0.36,7.03585e-41
0.8,0.37,1.92296e-43
0.8,0.38,8.57507e-60
0.8,0.39,5.31037e-45
0.8,0.4,1.6631e-45
0.8,0.41,7.01317e-43
0.8,0.42,3.02076e-45
0.8,0.43,6.50256e-57
0.8,0.44,1.29577e-49
0.8,0.45,2.37507e-43
0.8,0.46,2.37698e-45
0.8,0.47,2.27702e-41
0.8,0.48,1.48553e-49
0.8,0.49,1.02191e-41
0.8,0.5,9.44193e-49
0.8,0.51,1.0738e-50
0.8,0.52,9.43595e-53
0.8,0.53,4.78814e-45
0.8,0.54,3.53211e-45
0.8,0.55,8.59947e-50
0.8,0.56,3.48694e-41
0.8,0.57,6.33284e-50
0.8,0.58,4.07649e-50
0.8,0.59,1.67882e-47
0.8,0.6,2.43444e-47
0.8,0.61,6.07599e-54
0.8,0.62,4.65447e-47
0.8,0.63,5.67499e-52
0.8,0.64,2.4066e-58
0.8,0.65,2.2999e-44
0.8,0.66,5.20258e-48
0.8,0.67,1.37678e-46
0.8,0.68,8.46862e-43
0.8,0.69,4.92338e-47
0.8,0.7,4.73291e-45
0.8,0.71,9.72338e-47
0.8,0.72,9.8935e-47
0.8,0.73,8.76101e-56
0.8,0.74,1.10212e-40
0.8,0.75,6.21591e-44
0.8,0.76,1.3258e-47
0.8,0.77,7.47817e-54
0.8,0.78,2.53065e-45
0.8,0.79,3.79971e-48
0.8,0.8,2.89396e-46
0.8,0.81,9.92117e-59
0.8,0.82,1.81993e-58
0.8,0.83,7.31234e-54
0.8,0.84,3.50854e-52
0.8,0.85,3.59759e-46
0.8,0.86,1.16593e-55
0.8,0.87,4.72241e-51
0.8,0.88,7.98526e-43
0.8,0.89,7.01448e-44
0.8,0.9,7.0706e-45
0.8,0.91,1.04945e-49
0.8,0.92,5.00841e-47
0.8,0.93,1.88693e-44
0.8,0.94,5.41812e-45
0.8,0.95,4.31525e-43
0.8,0.96,4.88547e-53
0.8,0.97,2.04557e-51
0.8,0.98,1.93258e-49
0.8,0.99,1.16788e-45
0.8,1,8.07394e-50
0.8,1.01,1.74525e-61
0.8,1.02,5.03015e-48
0.8,1.03,4.33674e-60
0.8,1.04,1.63852e-43
0.8,1.05,1.88804e-44
0.8,1.06,1.9148e-50
0.8,1.07,1.77907e-45
0.8,1.08,1.94904e-57
0.8,1.09,1.66867e-60
0.8,1.1,1.86616e-52
0.8,1.11,1.34005e-59
0.8,1.12,1.66652e-45
0.8,1.13,3.77954e-54
0.8,1.14,8.41406e-41
0.8,1.15,1.6156e-52
0.8,1.16,6.06227e-44
0.8,1.17,6.92055e-44
0.8,1.18,9.60412e-42
0.8,1.19,4.61929e-44
0.8,1.2,3.61947e-41
0.8,1.21,1.0914e-51
0.8,1.22,6.09472e-42
0.8,1.23,4.02307e-44
0.8,1.24,8.44419e-52
0.8,1.25,3.45583e-55
0.8,1.26,2.51488e-53
0.8,1.27,9.14534e-53
0.8,1.28,8.48178e-44
0.8,1.29,9.30547e-47
0.8,1.3,5.12029e-43
0.8,1.31,2.87741e-52
0.8,1.32,9.65704e-45
0.8,1.33,9.66342e-42
0.8,1.34,6.8128e-43
0.8,1.35,5.61943e-44
0.8,1.36,2.12406e-44
0.8,1.37,6.557e-49
0.8,1.38,7.97841e-51
0.8,1.39,7.03043e-56
0.8,1.4,7.76829e-49
0.8,1.41,3.82217e-42
0.8,1.42,2.01497e-46
0.8,1.43,7.40476e-50
0.8,1.44,5.62484e-47
0.8,1.45,3.57101e-48
0.8,1.46,2.10879e-48
0.8,1.47,8.91042e-48
0.8,1.48,5.55679e-50
0.8,1.49,1.03182e-51
0.8,1.5,8.53963e-48
0.8,1.51,9.07347e-45
0.8,1.52,1.23999e-42
0.8,1.53,3.45534e-62
0.8,1.54,2.75017e-41
0.8,1.55,2.05648e-44
0.8,1.56,1.65906e-44
0.8,1.57,4.94811e-54
0.8,1.58,2.15044e-53
0.8,1.59,1.40682e-48
0.8,1.6,6.51797e-42
0.8,1.61,2.0554e-42
0.8,1.62,4.87466e-42
0.8,1.63,1.63082e-43
0.8,1.64,7.07213e-47
0.8,1.65,6.38291e-49
0.8,1.66,3.45188e-45
0.8,1.67,2.26513e-52
0.8,1.68,9.97677e-45
0.8,1.69,4.71722e-44
0.8,1.7,3.62499e-49
0.8,1.71,2.50677e-58
0.8,1.72,8.66383e-46
0.8,1.73,6.20731e-63
0.8,1.74,1.64435e-47
0.8,1.75,1.39203e-42
0.8,1.76,3.82532e-47
0.8,1.77,3.26386e-51
0.8,1.78,5.96306e-43
0.8,1.79,1.56331e-43
0.8,1.8,8.75971e-51
0.8,1.81,1.01579e-45
0.8,1.82,4.67052e-43
0.8,1.83,3.65042e-42
0.8,1.84,1.82061e-62
0.8,1.85,6.24806e-48
0.8,1.86,3.90176e-53
0.8,1.87,5.1197e-46
0.8,1.88,5.59058e-44
0.8,1.89,2.91664e-42
0.8,1.9,5.65585e-49
0.8,1.91,1.16226e-49
0.8,1.92,1.05999e-47
0.8,1.93,3.71937e-42
0.8,1.94,3.36233e-55
0.8,1.95,6.00281e-47
0.8,1.96,5.51948e-44
0.8,1.97,1.06616e-46
0.8,1.98,5.03885e-45
0.8,1.99,2.13922e-45
0.8,2,1.39928e-54
0.8,2.01,1.31408e-43
0.8,2.02,3.3704e-44
0.8,2.03,2.26681e-45
0.8,2.04,8.36711e-48
0.8,2.05,2.20987e-42
0.8,2.06,5.26126e-43
0.8,2.07,2.44235e-50
0.8,2.08,6.70433e-52
0.8,2.09,1.19339e-48
0.8,2.1,4.89361e-49
0.8,2.11,1.87303e-45
0.8,2.12,8.69288e-49
0.8,2.13,5.31702e-44
0.8,2.14,3.91963e-52
0.8,2.15,3.53551e-41
0.8,2.16,1.18235e-49
0.8,2.17,1.5225e-42
0.8,2.18,8.80671e-47
0.8,2.19,1.29503e-42
0.8,2.2,1.80632e-44
0.8,2.21,9.61065e-49
0.8,2.22,1.21196e-41
0.8,2.23,6.70601e-42
0.8,2.24,2.81176e-50
0.8,2.25,2.976e-47
0.8,2.26,6.6161e-47
0.8,2.27,2.50984e-57
0.8,2.28,3.31975e-49
0.8,2.29,8.76582e-45
0.8,2.3,1.28416e-55
0.8,2.31,3.00239e-58
0.8,2.32,7.80647e-59
0.8,2.33,1.36221e-43
0.8,2.34,6.53385e-50
0.8,2.35,2.36096e-45
0.8,2.36,1.08366e-47
0.8,2.37,2.53208e-42
0.8,2.38,2.81637e-58
0.8,2.39,7.99891e-41
0.8,2.4,9.00927e-49
0.8,2.41,1.73992e-50
0.8,2.42,3.83981e-47
0.8,2.43,3.37818e-49
0.8,2.44,3.13602e-46
0.8,2.45,2.80143e-42
0.8,2.46,5.61801e-52
0.8,2.47,1.95568e-45
0.8,2.48,9.12002e-59
0.8,2.49,5.24667e-51
0.8,2.5,5.73686e-47
0.8,2.51,7.11968e-54
0.8,2.52,1.31655e-47
0.8,2.53,2.72707e-51
0.8,2.54,1.51643e-52
0.8,2.55,3.01581e-47
0.8,2.56,1.7119e-59
0.8,2.57,2.11921e-44
0.8,2.58,3.76699e-41
0.8,2.59,2.29384e-48
0.8,2.6,3.88082e-46
0.8,2.61,1.25195e-41
0.8,2.62,4.08645e-45
0.8,2.63,9.02187e-45
0.8,2.64,5.46973e-45
0.8,2.65,6.55232e-41
0.8,2.66,3.50773e-42
0.8,2.67,1.67681e-49
0.8,2.68,2.41904e-44
0.8,2.69,3.29603e-42
0.8,2.7,1.70351e-44
0.8,2.71,1.76609e-54
0.8,2.72,2.24097e-47
0.8,2.73,8.63602e-49
0.8,2.74,3.99564e-42
0.8,2.75,9.41791e-54
0.8,2.76,1.83649e-43
0.8,2.77,4.6694e-50
0.8,2.78,4.1961e-45
0.8,2.79,7.14099e-44
0.8,2.8,2.44012e-65
0.8,2.81,8.50462e-50
0.8,2.82,5.58927e-54
0.8,2.83,5.88231e-42
0.8,2.84,1.7557e-45
0.8,2.85,3.72547e-51
0.8,2.86,4.23103e-44
0.8,2.87,7.21062e-47
0.8,2.88,7.9127e-46
0.8,2.89,4.59196e-42
0.8,2.9,1.62508e-50
0.8,2.91,6.57295e-51
0.8,2.92,4.59379e-50
0.8,2.93,7.96076e-50
0.8,2.94,5.81221e-50
0.8,2.95,2.90004e-54
0.8,2.96,1.68142e-42
0.8,2.97,2.41785e-57
0.8,2.98,6.47154e-44
0.8,2.99,1.08273e-66
0.8,3,1.43537e-41
0.8,3.01,2.89341e-45
0.8,3.02,1.55496e-59
0.8,3.03,2.59105e-42
0.8,3.04,2.47057e-41
0.8,3.05,1.95607e-48
0.8,3.06,1.04838e-48
0.8,3.07,1.35378e-59
0.8,3.08,1.66478e-50
0.8,3.09,1.25146e-42
0.8,3.1,5.30643e-47
0.8,3.11,4.50091e-43
0.8,3.12,9.39285e-44
0.8,3.13,2.71146e-47
0.8,3.14,1.05832e-47
0.8,3.15,5.94443e-51
0.8,3.16,7.1669e-48
0.8,3.17,9.82197e-42
0.8,3.18,1.52137e-49
0.8,3.19,3.98537e-46
0.8,3.2,1.91757e-46
0.8,3.21,6.5126e-48
0.8,3.22,1.81422e-44
0.8,3.23,3.20288e-42
0.8,3.24,1.40131e-43
0.8,3.25,1.67236e-53
0.8,3.26,4.94182e-46
0.8,3.27,6.16099e-45
0.8,3.28,3.32832e-42
0.8,3.29,7.1765e-46
0.8,3.3,2.35292e-42
0.8,3.31,1.85914e-47
0.8,3.32,2.76702e-56
0.8,3.33,7.11761e-48
0.8,3.34,9.91645e-61
0.8,3.35,7.68943e-55
0.8,3.36,5.51733e-46
0.8,3.37,8.20745e-50
0.8,3.38,3.89258e-44
0.8,3.39,2.451e-48
0.8,3.4,5.75402e-48
0.8,3.41,6.42915e-41
0.8,3.42,5.00418e-41
0.8,3.43,7.58869e-42
0.8,3.44,7.76875e-53
0.8,3.45,1.93127e-41
0.8,3.46,7.39557e-45
0.8,3.47,2.55705e-48
0.8,3.48,7.5372e-53
0.8,3.49,3.15417e-62
0.8,3.5,4.90188e-51
0.8,3.51,1.05043e-44
