x,y,mass
0,0,0.580625
0,0.01,0.578811
0,0.02,0.578433
0,0.03,0.575882
0,0.04,0.575615
0,0.05,0.573811
0,0.06,0.571175
0,0.07,0.569711
0,0.08,0.569067
0,0.09,0.568112
0,0.1,0.565201
0,0.11,0.564789
0,0.12,0.562841
0,0.13,0.561081
0,0.14,0.559909
0,0.15,0.557918
0,0.16,0.557999
0,0.17,0.555047
0,0.18,0.553299
0,0.19,0.551275
0,0.2,0.550113
0,0.21,0.548644
0,0.22,0.546922
0,0.23,0.545495
0,0.24,0.544691
0,0.25,0.544114
0,0.26,0.542674
0,0.27,0.540878
0,0.28,0.539422
0,0.29,0.538272
0,0.3,0.536585
0,0.31,0.53579
0,0.32,0.535207
0,0.33,0.534759
0,0.34,0.533064
0,0.35,0.531705
0,0.36,0.531556
0,0.37,0.530749
0,0.38,0.528829
0,0.39,0.529059
0,0.4,0.529085
0,0.41,0.52765
0,0.42,0.526936
0,0.43,0.526277
0,0.44,0.526125
0,0.45,0.527211
0,0.46,0.525803
0,0.47,0.525411
0,0.48,0.524349
0,0.49,0.526507
0,0.5,0.525198
0,0.51,0.526316
0,0.52,0.526232
0,0.53,0.52474
0,0.54,0.525418
0,0.55,0.526043
0,0.56,0.526963
0,0.57,0.526757
0,0.58,0.527657
0,0.59,0.527631
0,0.6,0.52867
0,0.61,0.529002
0,0.62,0.529605
0,0.63,0.530086
0,0.64,0.531627
0,0.65,0.531292
0,0.66,0.532638
0,0.67,0.534149
0,0.68,0.534726
0,0.69,0.536956
0,0.7,0.537744
0,0.71,0.538678
0,0.72,0.53997
0,0.73,0.541467
0,0.74,0.541823
0,0.75,0.544252
0,0.76,0.545166
0,0.77,0.547384
0,0.78,0.547014
0,0.79,0.548117
0,0.8,0.55101
0,0.81,0.552183
0,0.82,0.553377
0,0.83,0.554861
0,0.84,0.556655
0,0.85,0.558314
0,0.86,0.55962
0,0.87,0.561108
0,0.88,0.563004
0,0.89,0.563941
0,0.9,0.566074
0,0.91,0.567619
0,0.92,0.569647
0,0.93,0.570678
0,0.94,0.572015
0,0.95,0.574392
0,0.96,0.574944
0,0.97,0.576832
0,0.98,0.576628
0,0.99,0.579629
0.01,0,0.579872
0.01,0.01,0.577813
0.01,0.02,0.576289
0.01,0.03,0.575104
0.01,0.04,0.573601
0.01,0.05,0.572245
0.01,0.06,0.570262
0.01,0.07,0.568841
0.01,0.08,0.567473
0.01,0.09,0.564849
0.01,0.1,0.56429
0.01,0.11,0.562716
0.01,0.12,0.559807
0.01,0.13,0.558495
0.01,0.14,0.558082
0.01,0.15,0.556125
0.01,0.16,0.553404
0.01,0.17,0.551399
0.01,0.18,0.550846
0.01,0.19,0.549244
0.01,0.2,0.548772
0.01,0.21,0.546442
0.01,0.22,0.544181
0.01,0.23,0.542801
0.01,0.24,0.541612
0.01,0.25,0.540278
0.01,0.26,0.538254
0.01,0.27,0.538197
0.01,0.28,0.535917
0.01,0.29,0.534621
0.01,0.3,0.533776
0.01,0.31,0.532951
0.01,0.32,0.53037
0.01,0.33,0.530984
0.01,0.34,0.52839
0.01,0.35,0.528245
0.01,0.36,0.52822
0.01,0.37,0.52608
0.01,0.38,0.525488
0.01,0.39,0.524567
0.01,0.4,0.524382
0.01,0.41,0.524029
0.01,0.42,0.522541
0.01,0.43,0.522444
0.01,0.44,0.522237
0.01,0.45,0.521582
0.01,0.46,0.52177
0.01,0.47,0.521486
0.01,0.48,0.522221
0.01,0.49,0.520165
0.01,0.5,0.521692
0.01,0.51,0.521783
0.01,0.52,0.520611
0.01,0.53,0.519971
0.01,0.54,0.522437
0.01,0.55,0.52243
0.01,0.56,0.521221
0.01,0.57,0.522302
0.01,0.58,0.523035
0.01,0.59,0.523717
0.01,0.6,0.523966
0.01,0.61,0.524058
0.01,0.62,0.526933
0.01,0.63,0.526383
0.01,0.64,0.528057
0.01,0.65,0.528579
0.01,0.66,0.529143
0.01,0.67,0.530384
0.01,0.68,0.530893
0.01,0.69,0.533154
0.01,0.7,0.53387
0.01,0.71,0.534359
0.01,0.72,0.535867
0.01,0.73,0.537118
0.01,0.74,0.538361
0.01,0.75,0.540997
0.01,0.76,0.541962
0.01,0.77,0.543256
0.01,0.78,0.544673
0.01,0.79,0.546342
0.01,0.8,0.547703
0.01,0.81,0.549048
0.01,0.82,0.55107
0.01,0.83,0.552099
0.01,0.84,0.553802
0.01,0.85,0.556445
0.01,0.86,0.557447
0.01,0.87,0.559019
0.01,0.88,0.560951
0.01,0.89,0.562891
0.01,0.9,0.564604
0.01,0.91,0.565492
0.01,0.92,0.567568
0.01,0.93,0.569707
0.01,0.94,0.570105
0.01,0.95,0.572345
0.01,0.96,0.573752
0.01,0.97,0.574275
0.01,0.98,0.576813
0.01,0.99,0.577625
0.02,0,0.578862
0.02,0.01,0.576239
0.02,0.02,0.575916
0.02,0.03,0.573818
0.02,0.04,0.572243
0.02,0.05,0.569839
0.02,0.06,0.568684
0.02,0.07,0.567501
0.02,0.08,0.564679
