r,theta,mass
0,0,0.578166
0,0.01,0.578352
0,0.02,0.578576
0,0.03,0.577681
0,0.04,0.578697
0,0.05,0.57765
0,0.06,0.57957
0,0.07,0.578332
0,0.08,0.57805
0,0.09,0.57835
0,0.1,0.578619
0,0.11,0.577864
0,0.12,0.578495
0,0.13,0.578004
0,0.14,0.577521
0,0.15,0.57859
0,0.16,0.578482
0,0.17,0.57735
0,0.18,0.578262
0,0.19,0.577533
0,0.2,0.577614
0,0.21,0.577771
0,0.22,0.578518
0,0.23,0.578053
0,0.24,0.578902
0,0.25,0.578656
0,0.26,0.578628
0,0.27,0.578392
0,0.28,0.578815
0,0.29,0.578625
0,0.3,0.579284
0,0.31,0.577917
0,0.32,0.57811
0,0.33,0.578092
0,0.34,0.578291
0,0.35,0.579183
0,0.36,0.578995
0,0.37,0.578707
0,0.38,0.579412
0,0.39,0.577759
0,0.4,0.578563
0,0.41,0.578349
0,0.42,0.578901
0,0.43,0.578704
0,0.44,0.578819
0,0.45,0.578631
0,0.46,0.578801
0,0.47,0.577759
0,0.48,0.577821
0,0.49,0.578134
0,0.5,0.578274
0,0.51,0.579697
0,0.52,0.577802
0,0.53,0.579205
0,0.54,0.578859
0,0.55,0.578365
0,0.56,0.578953
0,0.57,0.57813
0,0.58,0.578316
0,0.59,0.577627
0,0.6,0.578407
0,0.61,0.578083
0,0.62,0.577585
0,0.63,0.579244
0,0.64,0.578715
0,0.65,0.577653
0,0.66,0.577456
0,0.67,0.578113
0,0.68,0.579105
0,0.69,0.577744
0,0.7,0.577545
0,0.71,0.578105
0,0.72,0.578146
0,0.73,0.578166
0,0.74,0.578645
0,0.75,0.579011
0,0.76,0.577626
0,0.77,0.578009
0,0.78,0.578221
0.01,0,0.574253
0.01,0.01,0.574655
0.01,0.02,0.574985
0.01,0.03,0.573427
0.01,0.04,0.575515
0.01,0.05,0.574554
0.01,0.06,0.574474
0.01,0.07,0.573871
0.01,0.08,0.574341
0.01,0.09,0.574692
0.01,0.1,0.574637
0.01,0.11,0.573696
0.01,0.12,0.57434
0.01,0.13,0.574311
0.01,0.14,0.573782
0.01,0.15,0.574405
0.01,0.16,0.57406
0.01,0.17,0.574135
0.01,0.18,0.574804
0.01,0.19,0.574061
0.01,0.2,0.573669
0.01,0.21,0.572822
0.01,0.22,0.573174
0.01,0.23,0.574244
0.01,0.24,0.573387
0.01,0.25,0.574062
0.01,0.26,0.574996
0.01,0.27,0.574733
0.01,0.28,0.574159
0.01,0.29,0.57399
0.01,0.3,0.574123
0.01,0.31,0.5738
0.01,0.32,0.573887
0.01,0.33,0.575014
0.01,0.34,0.573173
0.01,0.35,0.573927
0.01,0.36,0.574625
0.01,0.37,0.574171
0.01,0.38,0.574353
0.01,0.39,0.574662
0.01,0.4,0.574772
0.01,0.41,0.573809
0.01,0.42,0.573801
0.01,0.43,0.57497
0.01,0.44,0.573446
0.01,0.45,0.57286
0.01,0.46,0.574206
0.01,0.47,0.573787
0.01,0.48,0.574011
